result_group,version,feature_setting,model,method,test_n,selected_threshold,accuracy,balanced_accuracy,roc_auc,f1,status,note,source
ml,V5,without_other_vaccine_history,logistic,logistic,,,0.6766,,0.7433,0.664,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,random_forest,random_forest,,,0.6829,,0.7507,0.666,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,gradient_boosting,gradient_boosting,,,0.6867,,0.7553,0.6691,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,svm,svm,,,0.6786,,0.7477,0.6636,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,mlp,mlp,,,0.6824,,0.7506,0.658,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,knn,knn,,,0.6289,,0.6708,0.6119,complete,,user-supplied baseline console output
ml,V5,without_other_vaccine_history,xgboost,xgboost,,,0.6871,,0.757,0.6697,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,logistic,logistic,,,0.7604,,0.8398,0.7484,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,random_forest,random_forest,,,0.7617,,0.8377,0.7471,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,gradient_boosting,gradient_boosting,,,0.763,,0.8444,0.7506,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,svm,svm,,,0.763,,0.8356,0.7552,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,mlp,mlp,,,0.7587,,0.8402,0.7509,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,knn,knn,,,0.7102,,0.7689,0.6981,complete,,user-supplied baseline console output
ml,V4,with_other_vaccine_history,xgboost,xgboost,,,0.7647,,0.8452,0.7519,complete,,user-supplied baseline console output
icl,,,llama3-groq-70b-tool-use,random_balanced_8shot_direct,12853.0,5.0,0.473663736092741,0.5,0.5,0.6428382873132359,complete,,
icl,,,llama3-groq-70b-tool-use,random_balanced_8shot_generic_cot,12853.0,29.0,0.5185559791488369,0.5399172812060219,0.5398522944583168,0.6503954802259887,complete,,
icl,,,llama3-groq-70b-tool-use,representative_8shot_direct,,,,,,,pending_rerun,Pending rerun; lower-priority selection variant withheld because preliminary output was degenerate.,
icl,,,llama3-groq-70b-tool-use,similarity_selected_8shot_direct,,,,,,,pending_rerun,Pending rerun; lower-priority selection variant withheld because preliminary output was degenerate.,
icl,,,llama3-groq-70b-tool-use,zero_shot_direct,12853.0,46.0,0.4787209211857154,0.5047630442108985,0.5047630442108985,0.6448637761051628,complete,,
icl,,,llama4-scout-17b,random_balanced_8shot_direct,12853.0,86.0,0.6431961409787598,0.6296613574933981,0.6851243841252174,0.4973695747479176,complete,,
icl,,,llama4-scout-17b,random_balanced_8shot_generic_cot,12853.0,73.0,0.5829767369485723,0.5622061210159348,0.604843473354098,0.2760669908157752,complete,,
icl,,,llama4-scout-17b,representative_8shot_direct,12853.0,75.0,0.6053061542052439,0.6211349942163858,0.6553865309289816,0.6886775084381712,complete,,
icl,,,llama4-scout-17b,similarity_selected_8shot_direct,12853.0,79.0,0.6189216525324827,0.622472278957648,0.6543427973850877,0.6316739359302149,complete,,
icl,,,llama4-scout-17b,zero_shot_direct,12853.0,81.0,0.6338597992686532,0.6452682047875311,0.7136068142726583,0.6903947368421053,complete,,
icl,,,llama3-groq-70b-tool-use,random_balanced_8shot_direct,,,,,,,pending_rerun,Pending unified rerun; preliminary outputs were near-constant and are not reported.,
icl,,,llama3-groq-70b-tool-use,random_balanced_8shot_generic_cot,,,,,,,pending_rerun,Pending unified rerun; preliminary outputs were near-constant and are not reported.,
icl,,,llama3-groq-70b-tool-use,representative_8shot_direct,,,,,,,pending_rerun,Pending unified rerun; preliminary outputs were near-constant and are not reported.,
icl,,,llama3-groq-70b-tool-use,similarity_selected_8shot_direct,,,,,,,pending_rerun,Pending unified rerun; preliminary outputs were near-constant and are not reported.,
icl,,,llama3-groq-70b-tool-use,zero_shot_direct,,,,,,,pending_rerun,Pending unified rerun; preliminary outputs were near-constant and are not reported.,
icl,,,llama4-scout-17b,random_balanced_8shot_direct,12852.0,82.0,0.5917366946778712,0.5931753510999602,0.6228846582539632,0.590302178496135,complete,,
icl,,,llama4-scout-17b,random_balanced_8shot_generic_cot,12852.0,73.0,0.5460628695922813,0.5223235321114953,0.5389261151737056,0.1248124812481248,complete,,
icl,,,llama4-scout-17b,representative_8shot_direct,12852.0,75.0,0.62177093059446,0.6231940152372792,0.6251290171240911,0.6197293280137683,complete,,
icl,,,llama4-scout-17b,similarity_selected_8shot_direct,12852.0,79.0,0.5772642390289449,0.5782634193107528,0.6050694162151188,0.5725076717286962,complete,,
icl,,,llama4-scout-17b,zero_shot_direct,12852.0,81.0,0.630718954248366,0.6367071566257687,0.6622018801095079,0.6584628670120898,complete,,
transfer_baseline,,,llama3-groq-70b-tool-use,hbm_copb,12853.0,51.0,0.6418734925698281,0.6463550726326759,0.6698383793060246,0.6592641942408766,complete,,
transfer_baseline,,,llama4-scout-17b,hbm_copb,12853.0,51.0,0.6726056173655955,0.6752946681001872,0.7130605152515508,0.6775973030953111,complete,,
transfer_baseline,,,llama3-groq-70b-tool-use,hbm_copb,12852.0,51.0,0.5663709928415811,0.5634402186661771,0.5718978581651836,0.5258231940781077,complete,,
